ref,content,tune,dance,quality,year,instrument,performer,parish,origin,collector,notes,comments,archive,datatype,file,duration,kivike,order
"ERA, Fon. 2 a",Torupilli-tükk,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--a)--Torupillitykk__viul.mp3,14.763,K0,55
"ERA, Fon. 2 b",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--b)--pillilugu__viul.mp3,15.618,,56
"ERA, Fon. 2 c",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--c)--pillilugu__viul.mp3,11.905,,57
"ERA, Fon. 2 d",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--d)--pillilugu__viul.mp3,22.839,,58
"ERA, Fon. 2 e",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--e)--pillilugu__viul.mp3,11.542,,59
"ERA, Fon. 2 f",,,,,1912,viiul,Peeter Saar,Tartu linn,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0002--f)--pillilugu__viul.mp3,36.738,,60
"ERA, Fon. 12 d",,,,,1912,puupill,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0012--d)--pillilugu__pupil.mp3,18.161,,61
"ERA, Fon. 12 e",Mis ta vahid valge silma,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0012--e)--Mis_sa_vahid__pillil__skusrv.mp3,39.612,,62
"ERA, Fon. 12 f",,,,,1912,puupill,Karl Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0012--f)--pillilugu__pupil.mp3,21.26,,63
"ERA, Fon. 13 a",,,,,1912,puupill,Karl Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0013--a)--pillilugu__pupil.mp3,15.783,,64
"ERA, Fon. 13 b",,,,,1912,puupill,Karl Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0013--b)--pillilugu__pupil.mp3,16.169,,65
"ERA, Fon. 14 a",Kodumineki tükk,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0014--a)--Kodumineki_tykk__sksrv.mp3,31.831,,66
"ERA, Fon. 14 b",Laada lutu,Perekonnavalss,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",TX,ERA_Fon/FN-0014--b)--Saada_lutu__sksrv.mp3,25.497,,67
"ERA, Fon. 14 d",Tüdriku lepütämine,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0014--d)--Tydriku_lepytamine__sksrv.mp3,36.731,,68
"ERA, Fon. 15 a",,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0015--a)--pillilugu__sksrv.mp3,35.918,,69
"ERA, Fon. 15 b",Tööle meneki tükk,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0015--b)--Toole_meneki_tykk__sksrv.mp3,35.839,,70
"ERA, Fon. 15 c",Tööle meneki tükk 2,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0015--c)--Toole_meneki_tykk-2__sksrv.mp3,39.35,,71
"ERA, Fon. 15 d",Koodilöömise tükk,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0015--d)--Koodiloomise_tykk__sksrv.mp3,32.565,,72
"ERA, Fon. 16 a",Sööma meneki tükk,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0016--a)--Sooma_meneki_tykk__sksrv.mp3,36.068,,73
"ERA, Fon. 16 b",Marsimise tükk,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0016--b)--Marsimise_tykk__sksrv.mp3,38.13,,74
"ERA, Fon. 16 c",Kogatsjak,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0016--c)--Kogatsjak__sksrv.mp3,37.041,,75
"ERA, Fon. 16 d",Karjuse laul,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0016--d)--Karjuse_laul__sksrv.mp3,36.374,,76
"ERA, Fon. 17 a",Tüdriku lepütämine,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0017--a)--Tydriku_lepytamine__sksrv.mp3,40.657,,77
"ERA, Fon. 17 b",Tule rutto,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0017--b)--Tule_rutto__sksrv.mp3,40.08,,78
"ERA, Fon. 17 c",Kannatanud kaugu,,,,1912,sokusarv,Jukk Akermann,Urvaste khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0017--c)--Kannatanud_kaugu__sksrv.mp3,43.783,,79
"ERA, Fon. 26 a",Polka,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0026--a)--Polka__viul.mp3,27.677,,80
"ERA, Fon. 26 b",Polka (3 tuuriga),,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,3 tuuriga,,"ERA, Fon.",,ERA_Fon/FN-0026--b)--Polka_(3_tuuriga)__viul.mp3,24.688,,81
"ERA, Fon. 26 b1",,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0026--b1)-pillilugu__viul.mp3,13.887,,82
"ERA, Fon. 26 c",Masurka,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0026--c)--Masurka__viul.mp3,23.468,,83
"ERA, Fon. 26 d",Polka,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0026--d)--Polka__viul.mp3,27.133,,84
"ERA, Fon. 26 e",Laul viiuliga,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0026--e)--Laul_viiuliga__viul.mp3,21.064,,85
"ERA, Fon. 27 a",Torupilli tükk,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0027--a)--Torupillitykk__viul.mp3,28.569,,86
"ERA, Fon. 27 b",Polka,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0027--b)--Polka__viul.mp3,24.656,,87
"ERA, Fon. 27 c",Kasatski,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0027--c)--Kasatski__viul.mp3,17.935,,88
"ERA, Fon. 27 d",Tiiut-tiiut tee oli viltu,,,,1912,"viiul, laul",Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0027--d)--Tiiut-tiiut_tee_oli_viltu__l_viul.mp3,18.252,,89
"ERA, Fon. 27 e",Polka,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0027--e)--Polka__viul.mp3,24.429,,90
"ERA, Fon. 28 a",,,,,1912,"viiul, laul",Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0028--a)--lauluga_lugu__viul_l.mp3,18.116,,91
"ERA, Fon. 28 b",Valts,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0028--b)--Valts__viul.mp3,32.964,,92
"ERA, Fon. 28 c",,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0028--c)--pillilugu__viul.mp3,26.413,,93
"ERA, Fon. 28 d",,,,,1912,viiul,Peeter Ruusaar,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0028--d)--pillilugu__viul.mp3,49.644,,94
"ERA, Fon. 36 a",Eile õhtu läksin ma,,,,1912,"kannel, laul",Samuel Noorhani,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0036--a)--Eile_ohtu_laksin_ma__l_kan.mp3,20.7,,95
"ERA, Fon. 36 b",Polka,,,,1912,kannel,Samuel Noorhani,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0036--b)--Polka__kan.mp3,21.102,,96
"ERA, Fon. 36 c",Valzer ja polka,,,,1912,kannel,Samuel Noorhani,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0036--c)--Valtser_ja_polka__kan.mp3,50.896,,97
"ERA, Fon. 36 d",Polka,,,,1912,kannel,Samuel Noorhani,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0036--d)--Polka__kan.mp3,19.652,,98
"ERA, Fon. 36 e",Polka,,,,1912,kannel,Samuel Noorhani,Räpina khk.,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0036--e)--Polka__kan.mp3,27.989,,99
"ERA, Fon. 52 a",Marss,,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0052--a)--Marss__kan.mp3,41.909,,100
"ERA, Fon. 52 b",Polka,,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0052--b)--Polka__kan.mp3,33.777,,101
"ERA, Fon. 52 c",Reiländer,,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0052--c)--Reilender__kan.mp3,40.954,,102
"ERA, Fon. 52 d","Polka ""Labaritsa Liisa""",,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0052--d)--Labaritsa_Liisa__plka__kan.mp3,35.543,,103
"ERA, Fon. 53 a","Valss ""Torm möllab mere kaldal""",,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0053--a)--Torm_motleb_mere-__vls__kan.mp3,41.773,,104
"ERA, Fon. 53 b",Kadrell,,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0053--b)--Kadrill__kan.mp3,20.431,,105
"ERA, Fon. 53 c","""Tohtre tulli prillid ees""",,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0053--c)--Tohtre_tulli_prillid_ees__kan.mp3,15.335,,106
"ERA, Fon. 53 d",Kamarinski,,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0053--d)--Kamarinski__kan.mp3,13.896,,107
"ERA, Fon. 53 e","""Kui naine minno pahandas""",Kui naine minu pahandab,,Q5,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",TE,ERA_Fon/FN-0053--e)--Kui_naine_minno_pahandas__kan.mp3,46.244,,108
"ERA, Fon. 54 a","""Üts kuninga tütar""",,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0054--a)--1_kuningatytar_ja-__kan.mp3,19.149,,109
"ERA, Fon. 54 b",Akulina polka,,,,1912,kannel,Karl Viilo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0054--b)--Akulina_polka__kan.mp3,13.975,,110
"ERA, Fon. 54 g",,,,,1912,lepasarv,Ando Vasso,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0054--g)--pillilugu__lpsrv.mp3,7.935,,111
"ERA, Fon. 54 h",,,,,1912,lepasarv,Ando Vasso,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0054--h)--pillilugu__lpsrv.mp3,9.555,,112
"ERA, Fon. 54 i",,,,,1912,lepasarv,Ando Vasso,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0054--i)--pillilugu__lpsrv.mp3,12.374,,113
"ERA, Fon. 74 a",Eesti tükk marsi moodu,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0074--a)--Eesti_tykk_marsi_moodu__srvpl.mp3,56.142,,114
"ERA, Fon. 74 b",Setu kargus,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0074--b)--Setu_kargus__srvpl.mp3,35.775,,115
"ERA, Fon. 74 c",,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0074--c)--pillilugu__srvpl.mp3,18.865,,116
"ERA, Fon. 74 d",,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0074--d)--pillilugu__srvpl.mp3,20.872,,117
"ERA, Fon. 74 e","""Mõrsja ikkemine""",,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0074--e)--Morsja_ikkemine__srvpl.mp3,11.075,,118
"ERA, Fon. 74 f",Vene kasatšok,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0074--f)--Vene_kasatsok__srvpl.mp3,21.021,,119
"ERA, Fon. 75 a",,,,,1913,lepatoru,Nikita Vassil,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--a)--pillilugu__lepatoru.mp3,13.66,,120
"ERA, Fon. 75 b",,,,,1913,lepatoru,Nikita Vassil,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--b)--pillilugu__lepatoru.mp3,21.551,,121
"ERA, Fon. 75 c",,,,,1913,lepatoru,Nikita Vassil,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--c)--pillilugu__lepatoru.mp3,20.593,,122
"ERA, Fon. 75 d",,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--d)--pillilugu__srvpl.mp3,27.798,,123
"ERA, Fon. 75 e",,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--e)--pillilugu__srvpl.mp3,21.208,,124
"ERA, Fon. 75 f",,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--f)--pillilugu__srvpl.mp3,22.189,,125
"ERA, Fon. 75 h",,,,,1913,sarvepill,Sido Nikit,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0075--h)--pillilugu__srvpl.mp3,23.278,,126
"ERA, Fon. 76 a",Sepp,Sepp / Papiljon,,Q5,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,noodistus:,,"ERA, Fon.",TR,ERA_Fon/FN-0076--a)--Sepp__kan.mp3,24.095,,127
"ERA, Fon. 76 b",Karasimm,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--b)--Karasimm__kan.mp3,22.81,,128
"ERA, Fon. 76 c",Kamarisnskaja,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--c)--Kamarinskaja__kan.mp3,18.29,,129
"ERA, Fon. 76 d",Setu kasatsk,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--d)--Setu_kasatsk__kan.mp3,20.057,,130
"ERA, Fon. 76 e",Padespaninöör,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--e)--Padespaninoor__kan.mp3,18.587,,131
"ERA, Fon. 76 f",Hiir hüppas,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--f)--Hiir_hyppas__kan.mp3,22.036,,132
"ERA, Fon. 76 g",Otsa Jaani vana viiul,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--g)--Otsa_Jaani_vana_viiul__kan.mp3,21.655,,133
"ERA, Fon. 76 h",,,,,1913,kannel,Aleksander Mängli,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0076--h)--pillilugu__kan.mp3,14.176,K0,134
"ERA, Fon. 78 f",,,,,1913,sarvepill,Jaakima Miihkali,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0078--f)--pillilugu__srvpl.mp3,10.503,,135
"ERA, Fon. 78 g",,,,,1913,sarvepill,Jaakima Miihkali,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0078--g)--pillilugu__srvpl.mp3,21.13,,136
"ERA, Fon. 80 a1",Lõõtsalugu,,,,1913,lõõts,Danilo Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0080--a1)-pillilugu__lots.mp3,21.08,,137
"ERA, Fon. 80 a2",,,,,1913,sarvepill,Danilo Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0080--a2)-pillilugu__srvpl.mp3,19.012,,138
"ERA, Fon. 80 b",,,,,1913,sarvepill,Danilo Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0080--b)--pillilugu__srvpl.mp3,13.64,,139
"ERA, Fon. 80 c",,,,,1913,sarvepill,Danilo Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0080--c)--pillilugu__srvpl.mp3,19.241,,140
"ERA, Fon. 80 d",,,,,1913,lõõts,Danilo Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0080--d)--pillilugu__lots.mp3,18.857,,141
"ERA, Fon. 80 e",Ümbretsõõri tants,,,,1913,sarvepill,Danilo Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0080--e)--Ymbertsoori_tants__lots.mp3,24.169,,142
"ERA, Fon. 85 c",Setu kargus,,,,1913,lehepill,Semmeni Paali,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0085--c)--Setu_kargus__lhepl.mp3,17.855,,143
"ERA, Fon. 85 d",Vinne laul,,,,1913,lehepill,Semmeni Paali,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0085--d)--Vinne_laul__lhepl.mp3,26.155,,144
"ERA, Fon. 85 e",,,,,1913,lehepill,Semmeni Paali,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0085--e)--pillilugu__lhepl.mp3,23.899,,145
"ERA, Fon. 87 a",Setu kargus,,,,1913,kannel,Mati Kus'ma,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0087--a)--Setu_kargus__kan.mp3,23.931,,146
"ERA, Fon. 87 b",,,,,1913,kannel,Mati Kus'ma,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0087--b)--pillilugu__kan.mp3,23.47,,147
"ERA, Fon. 87 c",,,,,1913,lõõts,Miko Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0087--c)--pillilugu__lots.mp3,21.206,,148
"ERA, Fon. 87 d",,,,,1913,lõõts,Miko Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0087--d)--pillilugu__lots.mp3,21.758,,149
"ERA, Fon. 87 e",Setu kasatšon,,,,1913,lõõts,Miko Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0087--e)--Setu_kasatsok__lots.mp3,15.294,,150
"ERA, Fon. 87 f",Karobotška,Karobushka,,Q5,1913,lõõts,Miko Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",TR,ERA_Fon/FN-0087--f)--Karobotska__lots.mp3,30.972,,151
"ERA, Fon. 87 g",,,,,1913,lõõts,Miko Ol'oksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0087--g)--pillilugu__loots.mp3,16.238,,152
"ERA, Fon. 88 a",,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0088--a)--pillilugu__kan.mp3,11.901,,153
"ERA, Fon. 88 b",,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0088--b)--pillilugu__kan.mp3,16.019,,154
"ERA, Fon. 88 c",,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0088--c)--pillilugu__kan.mp3,13.43,,155
"ERA, Fon. 88 d",Setu kargus,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0088--d)--Setu_kargus__kan.mp3,22.336,,156
"ERA, Fon. 89 a",Petseri kiriku kello,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0089--a)--Petseri_kiriku_kello__kan.mp3,18.217,,157
"ERA, Fon. 89 b",Pankovitsa kirik kello,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0089--b)--Pankovitsa_kiriku_kello__kan.mp3,25.031,,158
"ERA, Fon. 89 c",Irboska kiriku kello,,,,1913,kannel,Semmeni Mikk,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0089--c)--Irboska_kiriku_kello__kan.mp3,13.912,,159
"ERA, Fon. 89 f",Setu kasatšok,,,,1913,lõõts,Jako Tepo,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0089--f)--Setu_kasatsok__lots.mp3,16.348,,160
"ERA, Fon. 90 a",,,,,1913,svirelka,Vassili Nikiforov,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--a)--pillilugu__svirelka.mp3,15.366,,161
"ERA, Fon. 90 b",,,,,1913,svirelka,Nikolai Kondratjev,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--b)--pillilugu__svirelka.mp3,22.699,,162
"ERA, Fon. 90 c",,,,,1913,svirelka,Nikolai Kondratjev,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--c)--pillilugu__svirelka.mp3,31.904,,163
"ERA, Fon. 90 d",,,,,1913,svirelka,Nikolai Kondratjev,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--d)--pillilugu__svirelka.mp3,24.857,,164
"ERA, Fon. 90 e",,,,,1913,haavapill,Ivani Oloksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--e)--pillilugu__hvapl.mp3,19.164,,165
"ERA, Fon. 90 f",,,,,1913,haavapill,Ivani Oloksa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--f)--pillilugu__hvapl.mp3,33.884,,166
"ERA, Fon. 90 g",,,,,1913,haavapill,Mihaili Vas'so,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0090--g)--pillilugu__hvapl.mp3,10.682,,167
"ERA, Fon. 91 f",Kargus,,,,1913,kannel,Kriisa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0091--f)--Kargus__kan.mp3,15.265,,168
"ERA, Fon. 91 g",Kargus,,,,1913,kannel,Kriisa,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0091--g)--Kargus__kan.mp3,22.666,,169
"ERA, Fon. 93 a",,,,,1913,sarvepill,Temme Kirilla,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--a)--pillilugu__srvpl.mp3,24.319,,170
"ERA, Fon. 93 b",,,,,1913,sarvepill,Temme Kirilla,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--b)--pillilugu__srvpl.mp3,21.131,,171
"ERA, Fon. 93 c",,,,,1913,sarvepill,Temme Kirilla,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--c)--pillilugu__srvpl.mp3,25.791,,172
"ERA, Fon. 93 d",,,,,1913,sarvepill,Temme Kirilla,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--d)--pillilugu__srvpl.mp3,28.461,,173
"ERA, Fon. 93 e",Vinne laul,,,,1913,sarvepill,Vanase Juri,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--e)--Vinne_laul__l.mp3,19.741,,174
"ERA, Fon. 93 f",,,,,1913,sarvepill,Vanase Juri,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--f)--pillilugu__srvpl.mp3,19.322,,175
"ERA, Fon. 93 g",Siiri sitake,,,,1913,sarvepill,Vanase Juri,Setumaa,,Armas Otto Väisänen,,,"ERA, Fon.",,ERA_Fon/FN-0093--g)--Siiri_sitatka__srvpl.mp3,15.976,,176
